Date,HospitalID,BloodGroup,UnitsAvailable,UnitsCollected,UnitsUsed,UnitsExpired,EmergencyCases,TrafficIndex,AvgTemperature,HolidayFlag,WeekendFlag
2023-01-01,HOSP_A,A+,197,20,19,1,1,0.35,29.84,1,1
2023-01-01,HOSP_A,A+,197,17,23,1,3,0.79,25.23,1,1
2023-01-01,HOSP_A,A+,190,48,45,1,6,0.88,20.46,1,1
2023-01-01,HOSP_A,A+,192,36,39,1,3,0.67,23.52,1,1
2023-01-03,HOSP_A,A+,188,30,27,1,6,0.67,22.51,1,0
2023-01-04,HOSP_A,A+,190,33,34,1,4,0.82,26.84,1,0
2023-01-04,HOSP_A,A+,188,26,25,1,1,0.89,22.44,1,0
2023-01-04,HOSP_A,A+,188,29,30,1,3,0.35,27.79,1,0
2023-01-04,HOSP_A,A+,186,43,43,1,7,0.84,24.77,1,0
2023-01-05,HOSP_A,A+,185,22,25,1,4,0.5,19.98,0,0
2023-01-05,HOSP_A,A+,181,13,12,1,2,0.83,28.35,0,0
2023-01-05,HOSP_A,A+,181,15,16,1,1,0.4,27.37,0,0
2023-01-05,HOSP_A,A+,179,10,14,1,0,0.4,24.9,0,0
2023-01-06,HOSP_A,A+,174,32,27,1,1,0.53,25.72,0,0
2023-01-07,HOSP_A,A+,178,26,28,1,4,0.61,27.34,0,1
2023-01-07,HOSP_A,A+,175,12,14,1,1,0.59,26.0,0,1
2023-01-08,HOSP_A,A+,172,17,18,1,2,0.35,27.09,0,1
2023-01-08,HOSP_A,A+,170,26,27,1,2,0.42,23.88,0,1
2023-01-09,HOSP_A,A+,168,25,23,1,6,0.76,26.95,0,0
2023-01-09,HOSP_A,A+,169,29,28,1,6,0.71,28.55,0,0
2023-01-09,HOSP_A,A+,169,28,23,1,3,0.88,29.14,0,0
2023-01-09,HOSP_A,A+,173,25,25,1,1,0.4,27.29,0,0
2023-01-10,HOSP_A,A+,172,27,28,1,2,0.36,27.43,0,0
2023-01-12,HOSP_A,A+,170,19,21,1,3,0.43,26.14,0,0
2023-01-12,HOSP_A,A+,167,20,21,1,7,0.88,28.22,0,0
2023-01-12,HOSP_A,A+,165,18,23,1,1,0.36,32.14,0,0
2023-01-13,HOSP_A,A+,159,25,25,1,3,0.43,26.99,0,0
2023-01-15,HOSP_A,A+,158,32,30,1,4,0.51,32.26,0,1
2023-01-16,HOSP_A,A+,159,24,25,1,1,0.61,27.88,0,0
2023-01-16,HOSP_A,A+,157,8,10,1,1,0.56,29.55,0,0
2023-01-16,HOSP_A,A+,154,28,27,1,5,0.68,27.74,0,0
2023-01-16,HOSP_A,A+,154,25,27,1,5,0.74,28.27,0,0
2023-01-17,HOSP_A,A+,151,6,12,1,2,0.31,27.31,0,0
2023-01-17,HOSP_A,A+,144,30,32,1,4,0.78,29.58,0,0
2023-01-17,HOSP_A,A+,141,12,12,1,2,0.48,30.36,0,0
2023-01-18,HOSP_A,A+,140,26,19,1,2,0.61,28.63,0,0
2023-01-18,HOSP_A,A+,146,15,18,1,0,0.41,29.36,0,0
2023-01-18,HOSP_A,A+,142,31,34,1,6,0.69,26.36,0,0
2023-01-18,HOSP_A,A+,138,26,28,1,3,0.64,22.41,0,0
2023-01-18,HOSP_A,A+,135,10,10,1,1,0.32,28.1,0,0
2023-01-18,HOSP_A,A+,134,24,25,1,1,0.85,27.25,0,0
2023-01-19,HOSP_A,A+,132,27,25,1,1,0.63,27.4,0,0
2023-01-23,HOSP_A,A+,133,18,16,1,2,0.51,29.88,0,0
2023-01-23,HOSP_A,A+,134,27,27,1,1,0.57,29.56,0,0
2023-01-23,HOSP_A,A+,133,19,18,1,5,0.78,31.74,0,0
